academy,アカデミー
accent,アクセント
access,アクセス
accident,アクシデント
acrobat,アクロバット
action,アクション
adapter,アダプター
africa,アフリカ
airbus,エアバス
alaska,アラスカ
alcohol,アルコール
allergy,アレルギー
alphabet,アルファベット
aluminium,アルミニウム
amateur,アマチュア
america,アメリカ
amoeba,アメーバ
and,アンド
amylase,アミラーゼ
anaconda,アナコンダ
anagram,アナグラム
anchovy,アンチョビ
anderson,アンダーソン
animation,アニメーション
announcer,アナウンサー
antenna,アンテナ
anthony,アンソニー
apple,アップル
arabia,アラビア
arc,アーク
arch,アーチ
architecture,アーキテクチャ
area,エリア
armchair,アームチェア
aroma,アロマ
art,アート
asia,アジア
asparagus,アスパラガス
assessment,アセスメント
assistant,アシスタント
athens,アテネ
auction,オークション
audio,オーディオ
audition,オーディション
aura,オーラ
australia,オーストラリア
authority,オーソリティー
automatic,オートマチック
automation,オートメーション
avatar,アバター
baby,ベビー
babysitter,ベビーシッター
back,バック
bacon,ベーコン
badge,バッジ
bag,バッグ
ball,ボール
ballerina,バレリーナ
bandana,バンダナ
bangkok,バンコク
bank,バンク
banker,バンカー
bar,バー
barcelona,バルセロナ
bartender,バーテンダー
baseball,ベースボール
basilisk,バシリスク
basket,バスケット
basketball,バスケットボール
bath,バス
battery,バッテリー
battle,バトル
bay,ベイ
beach,ビーチ
beautiful,ビューティフル
bed,ベッド
bedspread,ベッドカバー
beer,ビール
beetle,ビートル
beige,ベージュ
beirut,ベイルート
bell,ベル
benz,ベンツ
bestseller,ベストセラー
billy,ビリー
biohazard,バイオハザード
bioinformatics,バイオインフォマティクス
birdwatching,バードウォッチング
birmingham,バーミンガム
birobidzhan,ビロビジャン
biscuit,ビスケット
bit,ビット
black,ブラック
blackberry,ブラックベリー
blacklist,ブラックリスト
blanket,ブランケット
block,ブロック
blouse,ブラウス
blue,ブルー
blueberry,ブルーベリー
board,ボード
bodybuilder,ボディビルダー
boiler,ボイラー
bolivia,ボリビア
bonus,ボーナス
bookend,ブックエンド
bookmark,ブックマーク
boom,ブーム
boomerang,ブーメラン
boss,ボス
boston,ボストン
bottle,ボトル
bowl,ボウル
bowling,ボウリング
box,ボックス
boxing,ボクシング
brand,ブランド
bridge,ブリッジ
britain,ブリテン
broadway,ブロードウェイ
brown,ブラウン
bucket,バケツ
bulldog,ブルドッグ
bush,ブッシュ
business,ビジネス
buzzer,ブザー
buzzword,バズワード
bypass,バイパス
byte,バイト
cache,キャッシュ
cash,キャッシュ
caffeine,カフェイン
cake,ケーキ
calcium,カルシウム
california,カリフォルニア
cambridge,ケンブリッジ
camera,カメラ
campaign,キャンペーン
campus,キャンパス
canada,カナダ
candy,キャンディ
cap,キャップ
cappuccino,カプチーノ
capsule,カプセル
captain,キャプテン
car,カー
card,カード
cardigan,カーディガン
carnation,カーネーション
carpet,カーペット
cart,カート
case,ケース
casino,カジノ
caster,キャスター
catalog,カタログ
catch,キャッチ
category,カテゴリー
cauliflower,カリフラワー
cellophane,セロハン
cement,セメント
center,センター
centre,センター
chain,チェーン
chalk,チョーク
challenge,チャレンジ
champion,チャンピオン
championship,チャンピオンシップ
chance,チャンス
change,チェンジ
chaos,カオス
